ID,Age,Gender,Education,Income,PlayerType,GameHoursPerWeek,GE1,GE2,GE3,GE4,CS1,CS2,CS3,CI1,CI2,CI3,CI4,NOS1,NOS2,NOS3,COG1,COG2,COG3,AFF1,AFF2,AFF3,RISK1,RISK2,RISK3,RES1,RES2,RES3,RES4,GAP1,GAP2,GAP3,TI1,TI2,TI3,REC1,REC2,Duration_sec,SubmitTime,IP_Location,item_std,item_count,missing_ratio,GE_mean,TI_mean,max_streak
1,2,1,3.0,3.0,2,5,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,367,2025-03-01 23:47:00,广东,0.733358797622569,35,0.0,3.25,3.3333333333333335,8
2,2,1,1.0,3.0,2,8,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,244,2025-03-01 11:20:00,广东,0.9258200997725515,35,0.0,2.0,2.3333333333333335,4
3,1,1,1.0,3.0,1,29,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,569,2025-03-01 06:36:00,河南,0.8530715634909973,35,0.0,3.25,2.6666666666666665,3
4,1,1,1.0,1.0,2,16,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,4.0,,3.0,362,2025-03-01 10:53:00,广东,0.9211323729436766,34,0.02857142857142857,2.75,3.0,5
5,1,1,2.0,3.0,1,9,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,202,2025-03-01 23:04:00,其他,1.079215401276752,35,0.0,1.5,2.0,7
6,1,1,2.0,1.0,1,4,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,219,2025-03-01 07:45:00,北京,1.2434703403760614,35,0.0,1.5,1.0,7
8,2,1,2.0,2.0,2,28,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,189,2025-03-01 09:28:00,其他,1.1973359784864697,35,0.0,5.0,4.666666666666667,4
9,2,2,1.0,2.0,2,18,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,318,2025-03-01 10:49:00,江苏,0.9482402985876239,35,0.0,3.25,1.3333333333333333,4
10,2,1,2.0,2.0,3,17,4.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,542,2025-03-01 14:54:00,浙江,1.0451970985368817,35,0.0,4.75,3.0,4
11,1,2,2.0,1.0,3,16,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,,4.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,408,2025-03-02 02:01:00,广东,1.0664215404617372,34,0.02857142857142857,4.5,3.0,4
